event_ticker,market_ticker,checkpoint_offset_seconds,checkpoint_ts,model_probability,kalshi_yes_bid,kalshi_yes_ask,actual_result,kalshi_implied_vol,converted_dvol
KXBTCD-26SEP1016,KXBTCD-26SEP1016-T77299.99,1800,1789068600,0.24214837480709667,0.19,0.2,no,227.24182593318034,0.3954
KXBTCD-26SEP1016,KXBTCD-26SEP1016-T77299.99,600,1789069800,0.048623513517652484,0.02,0.03,no,898.3471755958645,0.3951
KXBTCD-26SEP1016,KXBTCD-26SEP1016-T77299.99,120,1789070280,0.0237462624998252,0.0,0.01,no,2640.6433803720342,0.39520000000000005
KXBTCD-26SEP1015,KXBTCD-26SEP1015-T77199.99,3600,1789063200,0.6412735831862926,0.68,0.69,yes,0.2982968038185673,0.3961
KXBTCD-26SEP1015,KXBTCD-26SEP1015-T77199.99,1800,1789065000,0.2854328401609981,0.15,0.16,yes,268.5360487358156,0.3946
KXBTCD-26SEP1015,KXBTCD-26SEP1015-T77199.99,600,1789066200,0.2597519363252332,0.1,0.11,yes,574.5813083941919,0.39490000000000003
KXBTCD-26SEP1015,KXBTCD-26SEP1015-T77199.99,120,1789066680,0.6088665014797202,0.23,0.24,yes,740.8953453408617,0.3961
KXBTCD-26SEP1014,KXBTCD-26SEP1014-T77299.99,3600,1789059600,0.34888484595479563,0.27,0.29,yes,108.83937392467861,0.3953
KXBTCD-26SEP1014,KXBTCD-26SEP1014-T77299.99,1800,1789061400,0.6000110685265179,0.47,0.48,yes,18.079127953248012,0.39630000000000004
KXBTCD-26SEP1014,KXBTCD-26SEP1014-T77299.99,600,1789062600,0.6955889961662893,0.7,0.71,yes,0.37635019895787203,0.3962
KXBTCD-26SEP1014,KXBTCD-26SEP1014-T77299.99,120,1789063080,0.7208938143536963,0.62,0.63,yes,0.7268794442580812,0.3962
KXBTCD-26SEP1013,KXBTCD-26SEP1013-T77299.99,3600,1789056000,0.47420146635103344,0.45,0.46,no,20.937824208712264,0.39640000000000003
KXBTCD-26SEP1013,KXBTCD-26SEP1013-T77299.99,1800,1789057800,0.07070142208401892,0.01,0.02,no,574.2121386345865,0.3954
KXBTCD-26SEP1013,KXBTCD-26SEP1013-T77299.99,600,1789059000,0.060996034154627066,0.03,0.04,no,830.4583516870117,0.3958
KXBTCD-26SEP1013,KXBTCD-26SEP1013-T77299.99,120,1789059480,0.0458478823646008,0.0,0.01,no,2640.6885099194506,0.39549999999999996
KXBTCD-26SEP1012,KXBTCD-26SEP1012-T77199.99,3600,1789052400,0.6429153683258948,0.6,0.61,yes,0.5489621820560254,0.4012
KXBTCD-26SEP1012,KXBTCD-26SEP1012-T77199.99,1800,1789054200,0.3868693238626388,0.27,0.28,yes,158.05178560423042,0.39880000000000004
KXBTCD-26SEP1012,KXBTCD-26SEP1012-T77199.99,600,1789055400,0.42392675414727293,0.33,0.34,yes,195.2192876417434,0.39640000000000003
KXBTCD-26SEP1012,KXBTCD-26SEP1012-T77199.99,120,1789055880,0.6152306870784251,0.29,0.3,yes,552.6737260894237,0.39630000000000004
KXBTCD-26SEP1011,KXBTCD-26SEP1011-T77199.99,3600,1789048800,0.5781256026426306,0.52,0.54,yes,1.0069026984531897,0.4075
KXBTCD-26SEP1011,KXBTCD-26SEP1011-T77199.99,1800,1789050600,0.6038499834787064,0.55,0.56,yes,0.7588891590399358,0.4045
KXBTCD-26SEP1011,KXBTCD-26SEP1011-T77199.99,600,1789051800,0.7129066489961404,0.77,0.78,yes,0.29840620104587884,0.40090000000000003
KXBTCD-26SEP1011,KXBTCD-26SEP1011-T77199.99,120,1789052280,0.9975099364102205,0.99,1.0,yes,0.4377267453395197,0.40149999999999997
KXBTCD-26SEP1010,KXBTCD-26SEP1010-T77399.99,3600,1789045200,0.08271210343013313,0.22,0.23,no,140.6602626664476,0.4046
KXBTCD-26SEP1010,KXBTCD-26SEP1010-T77399.99,1800,1789047000,0.0056775187650655035,0.08,0.09,no,362.497359581233,0.4119
KXBTCD-26SEP1010,KXBTCD-26SEP1010-T77399.99,600,1789048200,0.0008406256800582712,0.02,0.03,no,898.0270313107103,0.4081
KXBTCD-26SEP1010,KXBTCD-26SEP1010-T77399.99,120,1789048680,0.0006992685550433753,0.0,0.01,no,2640.441452653801,0.4079
KXBTCD-26SEP1009,KXBTCD-26SEP1009-T77199.99,3600,1789041600,0.9777348029612265,0.97,0.98,no,0.40026147802993156,0.39049999999999996
KXBTCD-26SEP1009,KXBTCD-26SEP1009-T77199.99,1800,1789043400,0.9885080578896044,0.96,0.97,no,0.49460719245950996,0.3943
KXBTCD-26SEP1009,KXBTCD-26SEP1009-T77199.99,600,1789044600,0.22358987844136485,0.22,0.23,no,345.9667919307725,0.4031
KXBTCD-26SEP1009,KXBTCD-26SEP1009-T77199.99,120,1789045080,3.5604258430410596e-10,0.0,0.01,no,2639.981892222105,0.40340000000000004
KXBTCD-26SEP1008,KXBTCD-26SEP1008-T76899.99,3600,1789038000,0.9979397414090669,0.98,1.0,yes,0.48285007772196964,0.3917
KXBTCD-26SEP1008,KXBTCD-26SEP1008-T76899.99,1800,1789039800,0.9999992421030337,0.99,1.0,yes,0.7303834113434321,0.39149999999999996
KXBTCD-26SEP1008,KXBTCD-26SEP1008-T76899.99,600,1789041000,0.9999999999999409,0.99,1.0,yes,1.1237441594184643,0.39049999999999996
KXBTCD-26SEP1008,KXBTCD-26SEP1008-T76899.99,120,1789041480,1.0,0.99,1.0,yes,2.4821575145246966,0.39030000000000004
KXBTCD-26SEP1007,KXBTCD-26SEP1007-T77899.99,3600,1789034400,0.5589959211975244,0.62,0.63,no,0.1841723451353123,0.3911
KXBTCD-26SEP1007,KXBTCD-26SEP1007-T77899.99,1800,1789036200,0.5356129330229648,0.66,0.67,no,0.08369790498024943,0.39280000000000004
KXBTCD-26SEP1007,KXBTCD-26SEP1007-T77899.99,600,1789037400,0.6717836148221739,0.79,0.8,no,0.21237293520175501,0.39280000000000004
KXBTCD-26SEP1007,KXBTCD-26SEP1007-T77899.99,120,1789037880,0.32503162210260844,0.7,0.71,no,,0.39189999999999997
KXBTCD-26SEP1006,KXBTCD-26SEP1006-T77899.99,3600,1789030800,0.7292982103964026,0.89,0.9,yes,0.1941603711629337,0.3975
KXBTCD-26SEP1006,KXBTCD-26SEP1006-T77899.99,1800,1789032600,0.842178771995459,0.96,0.97,yes,0.21714861985124054,0.3917
KXBTCD-26SEP1006,KXBTCD-26SEP1006-T77899.99,600,1789033800,0.709832220322961,0.84,0.85,yes,0.21289832915589776,0.39049999999999996
KXBTCD-26SEP1006,KXBTCD-26SEP1006-T77899.99,120,1789034280,0.7627182189496602,0.89,0.9,yes,0.22306197165694164,0.3909
KXBTCD-26SEP1001,KXBTCD-26SEP1001-T78499.99,3600,1789012800,0.2958765091772741,0.15,0.16,no,189.82788009550163,0.4011
KXBTCD-26SEP1001,KXBTCD-26SEP1001-T78499.99,1800,1789014600,0.30230093537163794,0.12,0.13,no,304.34718077533273,0.402
KXBTCD-26SEP1001,KXBTCD-26SEP1001-T78499.99,600,1789015800,0.09538512256708692,0.02,0.03,no,898.4135843033653,0.4014
KXBTCD-26SEP1001,KXBTCD-26SEP1001-T78499.99,120,1789016280,0.07637695290226487,0.0,0.01,no,2640.724205679151,0.4022
KXBTCD-26SEP1000,KXBTCD-26SEP1000-T78399.99,3600,1789009200,0.42668316240100357,0.31,0.32,no,90.02162290283303,0.402
KXBTCD-26SEP1000,KXBTCD-26SEP1000-T78399.99,1800,1789011000,0.4301528587085225,0.39,0.4,no,70.2353268753447,0.40159999999999996
KXBTCD-26SEP1000,KXBTCD-26SEP1000-T78399.99,600,1789012200,0.397706148402864,0.59,0.6,no,,0.4017
KXBTCD-26SEP1000,KXBTCD-26SEP1000-T78399.99,120,1789012680,0.01694987377372853,0.0,0.01,no,2640.6171323561894,0.4011
KXBTCD-26SEP0923,KXBTCD-26SEP0923-T78299.99,3600,1789005600,0.25002255515811367,0.15,0.16,yes,189.77171664335984,0.4033
KXBTCD-26SEP0923,KXBTCD-26SEP0923-T78299.99,1800,1789007400,0.12521300759731635,0.04,0.05,yes,448.5429805864222,0.4035
KXBTCD-26SEP0923,KXBTCD-26SEP0923-T78299.99,600,1789008600,0.4433702502543538,0.45,0.46,yes,51.32044229719548,0.4032
KXBTCD-26SEP0923,KXBTCD-26SEP0923-T78299.99,120,1789009080,0.6986214820331,0.78,0.8,yes,0.25974638664419397,0.4023
KXBTCD-26SEP0922,KXBTCD-26SEP0922-T78299.99,3600,1789002000,0.35517171432671435,0.27,0.28,no,111.64587343094591,0.4017
KXBTCD-26SEP0922,KXBTCD-26SEP0922-T78299.99,1800,1789003800,0.27019448225025533,0.2,0.21,no,217.8070865142715,0.4031
KXBTCD-26SEP0922,KXBTCD-26SEP0922-T78299.99,600,1789005000,0.04582131702968578,0.01,0.02,no,994.7148689644554,0.4035
KXBTCD-26SEP0922,KXBTCD-26SEP0922-T78299.99,120,1789005480,0.001670110850270523,0.0,0.01,no,2640.488057942358,0.4032
KXBTCD-26SEP0921,KXBTCD-26SEP0921-T78099.99,3600,1788998400,0.7210300468609373,0.83,0.84,yes,0.24235669100682194,0.402
KXBTCD-26SEP0921,KXBTCD-26SEP0921-T78099.99,1800,1789000200,0.7654853938910106,0.89,0.9,yes,0.2328088934083128,0.4025
KXBTCD-26SEP0921,KXBTCD-26SEP0921-T78099.99,600,1789001400,0.5649261738295962,0.78,0.79,yes,0.08369638398028573,0.402
KXBTCD-26SEP0921,KXBTCD-26SEP0921-T78099.99,120,1789001880,0.8733790652072584,0.66,0.67,yes,1.0752248378345095,0.4019
KXBTCD-26SEP0920,KXBTCD-26SEP0920-T78199.99,3600,1788994800,0.21705619611755733,0.1,0.11,yes,234.40424437807133,0.4019
KXBTCD-26SEP0920,KXBTCD-26SEP0920-T78199.99,1800,1788996600,0.43247974363414654,0.4,0.41,yes,63.36422452184845,0.4017
KXBTCD-26SEP0920,KXBTCD-26SEP0920-T78199.99,600,1788997800,0.6337057987315231,0.78,0.79,yes,0.17449736252102604,0.4022
KXBTCD-26SEP0920,KXBTCD-26SEP0920-T78199.99,120,1788998280,0.8318581489154316,0.99,1.0,yes,0.1501156681488612,0.402
KXBTCD-26SEP0919,KXBTCD-26SEP0919-T78299.99,3600,1788991200,0.311853339256451,0.24,0.25,no,128.93471244376286,0.40049999999999997
KXBTCD-26SEP0919,KXBTCD-26SEP0919-T78299.99,1800,1788993000,0.09174530866233854,0.06,0.07,no,400.46985193588716,0.40159999999999996
KXBTCD-26SEP0919,KXBTCD-26SEP0919-T78299.99,600,1788994200,0.019106532628626605,0.0,0.01,no,1180.7441061212457,0.4021
KXBTCD-26SEP0919,KXBTCD-26SEP0919-T78299.99,120,1788994680,2.586736380649768e-11,0.0,0.01,no,2639.9226388911566,0.4019
KXBTCD-26SEP0918,KXBTCD-26SEP0918-T77899.99,3600,1788987600,0.8715343976273611,0.93,0.94,yes,0.3004949868453051,0.401
KXBTCD-26SEP0918,KXBTCD-26SEP0918-T77899.99,1800,1788989400,0.9223298513049798,0.97,0.98,yes,0.29136863527103735,0.4017
KXBTCD-26SEP0918,KXBTCD-26SEP0918-T77899.99,600,1788990600,0.7930155387071769,0.98,0.99,yes,0.15109485578108983,0.401
KXBTCD-26SEP0918,KXBTCD-26SEP0918-T77899.99,120,1788991080,0.9994177327577809,0.99,1.0,yes,0.50513898827362,0.4007
KXBTCD-26SEP0917,KXBTCD-26SEP0917-T77999.99,3600,1788984000,0.7630906313954207,0.83,0.84,yes,0.29349509120188094,0.3986
KXBTCD-26SEP0917,KXBTCD-26SEP0917-T77999.99,1800,1788985800,0.7824597383501375,0.68,0.69,yes,0.6459281566654679,0.39990000000000003
KXBTCD-26SEP0917,KXBTCD-26SEP0917-T77999.99,600,1788987000,0.8905724674844779,0.85,0.87,yes,0.4561934218702051,0.40090000000000003
KXBTCD-26SEP0917,KXBTCD-26SEP0917-T77999.99,120,1788987480,0.9999990664707048,0.99,1.0,yes,0.742202119469704,0.4011
KXBTCD-26SEP0916,KXBTCD-26SEP0916-T78299.99,3600,1788980400,0.6616326039038117,0.72,0.73,no,0.2780381080011938,0.39759999999999995
KXBTCD-26SEP0916,KXBTCD-26SEP0916-T78299.99,1800,1788982200,0.8284569649561082,0.94,0.95,no,0.23699908896225863,0.39909999999999995
